region,mean_stress,max_stress,std_stress,cluster
Akdeniz,2.6879083754082738e-17,0.8317215139803205,0.4199723291578672,2
Doğu Anadolu,0.0,0.8134234391356104,0.23605009092060858,1
Ege,-1.1686558153949016e-18,0.9061209505924538,0.4443541969456488,0
Güneydoğu Anadolu,-2.1181886654032593e-17,0.9436757058140952,0.34268338658667674,0
Karadeniz,-5.843279076974508e-19,0.6774098102944807,0.292423516953537,1
Marmara,-1.0517902338554115e-17,0.9570426886480397,0.3833771357139293,0
İç Anadolu,-7.304098846218135e-20,0.7574926206783467,0.32072453626626773,1
