date,region7,stress_index
2019-09-01,Doğu Anadolu,-0.32210955616301074
2019-10-01,Doğu Anadolu,-0.07089307034106013
2019-11-01,Doğu Anadolu,-0.23614185950325473
2019-12-01,Doğu Anadolu,-0.10805115474403097
2020-01-01,Doğu Anadolu,-0.06747551416701567
2020-02-01,Doğu Anadolu,-0.24007257278088018
2020-03-01,Doğu Anadolu,-0.16520861135821852
2020-04-01,Doğu Anadolu,0.10491001442048643
2020-05-01,Doğu Anadolu,-0.022610736578150104
2020-06-01,Doğu Anadolu,0.05035383192061365
2020-07-01,Doğu Anadolu,0.08716940270839528
2020-08-01,Doğu Anadolu,-0.21944373094065744
2020-09-01,Doğu Anadolu,-0.03244363875274292
2020-10-01,Doğu Anadolu,-0.09394659566595326
2020-11-01,Doğu Anadolu,-0.11026249496217234
2020-12-01,Doğu Anadolu,-0.09280458491272255
2021-01-01,Doğu Anadolu,0.16928767354962765
2021-02-01,Doğu Anadolu,0.0642882358382062
2021-03-01,Doğu Anadolu,0.14676958603286622
2021-04-01,Doğu Anadolu,-0.04711555032145616
2021-05-01,Doğu Anadolu,-0.034595698370247376
2021-06-01,Doğu Anadolu,0.090681559263392
2021-07-01,Doğu Anadolu,0.02631946691336705
2021-08-01,Doğu Anadolu,-0.05471858386631843
2021-09-01,Doğu Anadolu,-0.11742353808746431
2021-10-01,Doğu Anadolu,-0.2696061562089603
2021-11-01,Doğu Anadolu,-0.08239809790167325
2021-12-01,Doğu Anadolu,-0.07988668167469808
2022-01-01,Doğu Anadolu,0.011848226377606193
2022-02-01,Doğu Anadolu,0.24323038999628532
2022-03-01,Doğu Anadolu,0.1316491378827475
2022-04-01,Doğu Anadolu,0.40339984303344145
2022-05-01,Doğu Anadolu,0.2412803856700043
2022-06-01,Doğu Anadolu,-0.006434541824308865
2022-07-01,Doğu Anadolu,0.08828610435641264
2022-08-01,Doğu Anadolu,0.5318346683625467
2022-09-01,Doğu Anadolu,0.26531624474030935
2022-10-01,Doğu Anadolu,0.3334139921132639
2022-11-01,Doğu Anadolu,0.5028125315959735
2022-12-01,Doğu Anadolu,0.4469474383455317
2023-01-01,Doğu Anadolu,0.274381082077876
2023-02-01,Doğu Anadolu,0.15515363861957648
2023-03-01,Doğu Anadolu,0.4032007189195777
2023-04-01,Doğu Anadolu,0.26378111672726995
2023-05-01,Doğu Anadolu,0.19701145338883666
2023-06-01,Doğu Anadolu,0.3048454098173662
2023-07-01,Doğu Anadolu,0.1890203432240424
2023-08-01,Doğu Anadolu,0.19609221864868698
2023-09-01,Doğu Anadolu,0.06852323283708327
2023-10-01,Doğu Anadolu,0.1458642730727129
2023-11-01,Doğu Anadolu,0.3002330872982898
2023-12-01,Doğu Anadolu,0.4036910028639553
2024-01-01,Doğu Anadolu,0.4743466988166849
2024-02-01,Doğu Anadolu,0.3152329445326985
2024-03-01,Doğu Anadolu,0.1969201238166564
2024-04-01,Doğu Anadolu,0.1156466688402352
2024-05-01,Doğu Anadolu,-0.029003666264233934
