"Date","Price","Open","High","Low","Vol.","Change %"
"04/21/2019","5.9372","5.8112","5.9823","5.8064","","2.19%"
"04/14/2019","5.8102","5.7643","5.8538","5.6965","","0.73%"
"04/07/2019","5.7683","5.6261","5.8305","5.6175","","2.54%"
"03/31/2019","5.6252","5.5705","5.7135","5.4175","","1.53%"
"03/24/2019","5.5405","5.7631","5.7736","5.2758","","-3.84%"
"03/17/2019","5.7617","5.4466","5.8486","5.4071","","5.80%"
"03/10/2019","5.4457","5.4320","5.4815","5.4239","","0.36%"
"03/03/2019","5.4260","5.3746","5.4889","5.3605","","0.98%"
"02/24/2019","5.3732","5.3188","5.4061","5.2832","","1.05%"
"02/17/2019","5.3176","5.2799","5.3454","5.2706","","0.90%"
"02/10/2019","5.2704","5.2563","5.3278","5.2343","","0.46%"
"02/03/2019","5.2464","5.2102","5.2969","5.1777","","0.75%"
"01/27/2019","5.2074","5.2677","5.3650","5.1588","","-1.15%"
"01/20/2019","5.2678","5.3260","5.3695","5.2447","","-1.12%"
"01/13/2019","5.3273","5.4550","5.5457","5.3169","","-2.29%"
"01/06/2019","5.4520","5.3350","5.5486","5.3186","","2.29%"
"12/30/2018","5.3301","5.2725","5.8340","5.2580","","1.11%"
"12/23/2018","5.2715","5.3155","5.3661","5.2463","","-0.86%"
"12/16/2018","5.3171","5.3639","5.4032","5.2015","","-0.85%"
"12/09/2018","5.3625","5.3049","5.4247","5.2667","","1.12%"
"12/02/2018","5.3029","5.2128","5.4542","5.1370","","1.73%"
"11/25/2018","5.2128","5.2877","5.3009","5.1220","","-1.41%"
"11/18/2018","5.2875","5.3347","5.4387","5.2520","","-0.83%"
"11/11/2018","5.3318","5.4606","5.5299","5.3024","","-2.36%"
"11/04/2018","5.4606","5.4296","5.5421","5.2940","","0.57%"
"10/28/2018","5.4296","5.5929","5.6492","5.3980","","-2.92%"
"10/21/2018","5.5929","5.6486","5.8690","5.5626","","-0.88%"
"10/14/2018","5.6425","5.8664","5.9017","5.5083","","-3.91%"
"10/07/2018","5.8721","6.1343","6.1910","5.8068","","-4.26%"
"09/30/2018","6.1333","6.0580","6.2283","5.8780","","1.28%"
"09/23/2018","6.0560","6.2384","6.3323","5.9320","","-3.78%"
"09/16/2018","6.2937","6.1819","6.4659","6.1050","","2.00%"
"09/09/2018","6.1703","6.3860","6.5514","5.9820","","-3.54%"
"09/02/2018","6.3970","6.5429","6.7454","6.3615","","-2.16%"
"08/26/2018","6.5380","6.0248","6.8470","5.9819","","8.84%"
"08/19/2018","6.0068","6.0290","6.2010","5.9530","","-0.12%"
"08/12/2018","6.0140","6.4138","7.2169","5.6665","","-6.43%"
"08/05/2018","6.4275","5.0796","6.8020","5.0796","","26.49%"
"07/29/2018","5.0815","4.8446","5.1135","4.8394","","4.71%"
"07/22/2018","4.8529","4.7939","4.9383","4.7305","","1.26%"
"07/15/2018","4.7927","4.8435","4.8680","4.7610","","-1.29%"
"07/08/2018","4.8552","4.5694","4.9721","4.5060","","6.23%"
"07/01/2018","4.5704","4.5895","4.7254","4.5684","","-0.37%"
"06/24/2018","4.5872","4.6580","4.7229","4.5330","","-1.93%"
"06/17/2018","4.6773","4.7272","4.7753","4.6585","","-1.12%"
"06/10/2018","4.7301","4.4754","4.7602","4.4590","","5.72%"
"06/03/2018","4.4740","4.6495","4.6791","4.4510","","-3.80%"
"05/27/2018","4.6508","4.7090","4.7174","4.4410","","-1.22%"
"05/20/2018","4.7081","4.4912","4.9241","4.4874","","4.82%"
"05/13/2018","4.4917","4.3137","4.5060","4.2998","","4.13%"
"05/06/2018","4.3136","4.2260","4.3746","4.2197","","2.07%"
"04/29/2018","4.2260","4.0461","4.2921","4.0265","","4.55%"
